payment_id,utr,amount,fee,settled_at
PAY_00137,UTR_00137,9799.11,199.98,2024-09-12T05:00:00
PAY_00138,UTR_00138,2273.40,46.40,2024-02-20T08:11:00
PAY_00139,UTR_00139,7677.53,156.68,2024-01-30T16:33:00
PAY_00140,,7415.57,151.34,2024-06-29T10:35:00
PAY_00141,UTR_00141,2032.20,41.47,2024-01-16T05:09:00
PAY_00142_A,UTR_00142_A,2147.16,43.82,2024-06-23T01:52:00
PAY_00142_B,UTR_00142_B,3979.04,81.20,2024-06-23T01:52:00
PAY_00143,UTR_00143,6594.01,134.57,2024-06-08T02:12:00
PAY_00144,UTR_00144,7538.44,153.85,2024-05-02T13:19:00
PAY_00145,,5976.37,121.97,2024-03-24T18:36:00
PAY_00146,UTR_00146,7644.14,156.00,2024-04-29T15:00:00
PAY_00147,UTR_00147,9457.73,193.01,2024-03-20T02:09:00
PAY_00148,UTR_00148,5713.54,116.60,2024-08-15T12:50:00
PAY_00149,UTR_00149,3946.34,80.54,2024-05-24T19:03:00
PAY_00150,UTR_00150,835.32,17.05,2024-06-26T05:06:00
PAY_00151,UTR_00151,1086.64,22.18,2024-08-07T23:32:00
PAY_00152_A,UTR_00152_A,5162.88,105.36,2024-03-29T12:35:00
PAY_00152_B,UTR_00152_B,3184.67,64.99,2024-03-29T12:35:00
PAY_00153,UTR_00153,5588.68,114.05,2024-01-31T06:44:00
PAY_00155,UTR_00155,6516.08,132.98,2024-02-20T14:06:00
PAY_00156,UTR_00156,5006.83,102.18,2024-09-05T20:26:00
PAY_00157,UTR_00157,219.14,4.47,2024-11-02T06:03:00
PAY_00158,UTR_00158,4305.29,87.86,2024-09-21T02:41:00
PAY_00159,UTR_00159,6960.31,142.05,2024-11-13T11:41:00
PAY_00160_A,UTR_00160_A,1806.88,36.88,2024-07-16T01:01:00
PAY_00160_B,UTR_00160_B,1806.88,36.88,2024-07-16T01:01:00
PAY_00161,UTR_00161,6073.58,123.95,2024-12-18T10:43:00
PAY_00162,UTR_00162,4608.20,94.05,2024-07-14T19:33:00
PAY_00163,UTR_00163,3225.00,65.82,2024-06-28T03:20:00
PAY_00164,UTR_00164,8157.76,166.48,2024-03-04T11:32:00
PAY_00165,UTR_00165,2804.16,57.23,2024-11-24T15:20:00
PAY_00166,UTR_00166,2463.96,50.29,2024-12-04T18:22:00
PAY_00167,UTR_00167,5626.68,114.83,2024-10-03T08:19:00
PAY_00168,UTR_00168,3361.72,68.61,2024-12-26T07:37:00
PAY_00169,UTR_00169,8353.94,170.49,2024-05-12T18:52:00
PAY_00170,UTR_00170,4828.21,98.53,2024-09-15T18:00:00
PAY_00171,,7838.57,159.97,2024-09-05T04:51:00
PAY_00172,UTR_00172,2810.15,57.35,2024-07-20T13:08:00
PAY_00173,UTR_00173,928.62,18.95,2024-10-23T07:50:00
PAY_00174,UTR_00174,4839.53,98.77,2024-06-24T08:57:00
PAY_00175,UTR_00175,4446.19,90.74,2024-01-13T22:20:00
PAY_00176,UTR_00176,1000.81,20.42,2024-06-10T17:40:00
PAY_00177,UTR_00177,4021.50,82.07,2024-06-26T13:03:00
PAY_00178,UTR_00178,3068.81,62.63,2024-09-26T02:05:00
PAY_00179,UTR_00179,4689.57,95.71,2024-09-07T16:35:00
PAY_00180,UTR_00180,4226.24,86.25,2024-08-29T05:59:00
PAY_00181,UTR_00181,3511.26,71.66,2024-11-26T18:46:00
PAY_00182,UTR_00182,2726.43,55.64,2024-07-02T10:35:00
PAY_00183,UTR_00183,2334.68,47.65,2024-05-20T14:39:00
PAY_00184,UTR_00184,3159.44,64.48,2024-05-15T04:43:00
PAY_00185,UTR_00185,1956.33,39.93,2024-12-18T22:59:00
PAY_00186,UTR_00186,2780.60,56.75,2024-07-25T10:45:00
PAY_00187,UTR_00187,9610.92,196.14,2024-05-21T17:27:00
PAY_00188,,2972.18,60.66,2024-09-20T03:51:00
PAY_00189_A,UTR_00189_A,1838.94,37.53,2024-01-11T16:15:00
PAY_00189_B,UTR_00189_B,1838.94,37.53,2024-01-11T16:15:00
PAY_00190,,6967.19,142.19,2024-04-02T13:11:00
PAY_00191,UTR_00191,2759.37,56.31,2024-02-10T01:54:00
PAY_00192,UTR_00192,5466.68,111.57,2024-04-02T07:53:00
PAY_00193,UTR_00193,6286.61,128.30,2024-12-23T19:43:00
PAY_00194,UTR_00194,1093.31,22.31,2024-01-10T07:21:00
PAY_00195,UTR_00195,5667.58,115.66,2024-12-08T04:18:00
PAY_00196,UTR_00196,4742.48,96.79,2024-09-05T11:16:00
PAY_00197,UTR_00197,1886.70,38.50,2024-02-07T18:52:00
PAY_00198,UTR_00198,2547.55,51.99,2024-12-14T05:55:00
PAY_00199,UTR_00199,1204.87,24.59,2024-02-17T22:57:00
PAY_00200_A,UTR_00200_A,3985.66,81.34,2024-02-24T07:40:00
PAY_00200_B,UTR_00200_B,3985.66,81.34,2024-02-24T07:40:00
PAY_00201,UTR_00201,5696.26,116.25,2024-02-09T09:53:00
PAY_00202,UTR_00202,1570.06,32.04,2024-08-09T14:54:00
PAY_00203,UTR_00203,924.42,18.87,2024-06-30T02:27:00
PAY_00204_A,UTR_00204_A,676.64,13.81,2024-10-30T10:10:00
PAY_00204_B,UTR_00204_B,570.58,11.64,2024-10-30T10:10:00
PAY_00205,UTR_00205,7771.28,158.60,2024-06-13T17:10:00
PAY_00206,UTR_00206,4468.89,91.20,2024-11-18T18:06:00
PAY_00207,UTR_00207,2982.32,60.86,2024-11-08T15:20:00
PAY_00208,UTR_00208,6012.64,122.71,2024-03-13T15:13:00
PAY_00209,UTR_00209,9291.52,189.62,2024-05-31T16:21:00
PAY_00210,UTR_00210,6166.75,125.85,2024-07-15T02:01:00
PAY_00211,UTR_00211,885.68,18.08,2024-06-24T00:56:00
PAY_00212_A,UTR_00212_A,1784.33,36.42,2024-02-25T00:51:00
PAY_00212_B,UTR_00212_B,1784.33,36.42,2024-02-25T00:51:00
PAY_00213,UTR_00213,1616.68,32.99,2024-10-24T20:21:00
PAY_00214,UTR_00214,4468.79,91.20,2024-12-08T13:18:00
PAY_00215,UTR_00215,2923.80,59.67,2024-06-17T22:20:00
PAY_00216_A,UTR_00216_A,1681.50,34.32,2024-07-25T05:51:00
PAY_00216_B,UTR_00216_B,1211.69,24.73,2024-07-25T05:51:00
PAY_00217,UTR_00217,4503.01,91.90,2024-06-19T08:22:00
PAY_00218,UTR_00218,9061.79,184.93,2024-05-24T10:08:00
PAY_00219,UTR_00219,4222.70,86.18,2024-06-13T01:49:00
PAY_00220_A,UTR_00220_A,6381.35,130.23,2024-07-12T19:15:00
PAY_00220_B,UTR_00220_B,6381.35,130.23,2024-07-12T19:15:00
PAY_00221,UTR_00221,8117.98,165.67,2024-02-22T08:58:00
PAY_00222,UTR_00222,676.61,13.81,2024-08-12T08:54:00
PAY_00223,,5871.12,119.82,2024-07-29T12:50:00
PAY_00224,UTR_00224,4358.67,88.95,2024-12-07T16:05:00
PAY_00225,UTR_00225,6779.55,138.36,2024-10-20T11:20:00
PAY_00226,UTR_00226,9244.90,188.67,2024-12-30T19:23:00
PAY_00227,UTR_00227,878.44,17.93,2024-01-30T09:37:00
PAY_00228,UTR_00228,8727.18,178.11,2024-08-23T01:58:00
PAY_00229,UTR_00229,5955.23,121.54,2024-01-20T05:01:00
PAY_00230_A,UTR_00230_A,984.06,20.08,2024-01-16T11:33:00
PAY_00230_B,UTR_00230_B,984.06,20.08,2024-01-16T11:33:00
PAY_00231,UTR_00231,9795.85,199.92,2024-07-15T15:02:00
PAY_00232,,5688.75,116.10,2024-05-07T22:40:00
PAY_00233,UTR_00233,4662.80,95.16,2024-11-18T09:31:00
PAY_00234,UTR_00234,8985.74,183.38,2024-05-12T12:45:00
PAY_00235,,9770.36,199.40,2024-11-13T18:38:00
PAY_00236,UTR_00236,6256.68,127.69,2024-12-24T10:31:00
PAY_00237,UTR_00237,9499.78,193.87,2024-12-08T15:01:00
PAY_00238,UTR_00238,3473.91,70.90,2024-08-31T01:59:00
PAY_00239,UTR_00239,3212.91,65.57,2024-03-17T13:00:00
PAY_00240,UTR_00240,8419.73,171.83,2024-08-28T12:44:00
PAY_00241,UTR_00241,4091.78,83.51,2024-12-27T03:56:00
PAY_00242,UTR_00242,2892.70,59.03,2024-10-18T23:24:00
PAY_00243,UTR_00243,4510.72,92.06,2024-08-17T09:35:00
PAY_00244_A,UTR_00244_A,2546.77,51.98,2024-03-25T18:52:00
PAY_00244_B,UTR_00244_B,2546.77,51.98,2024-03-25T18:52:00
PAY_00245,UTR_00245,9510.73,194.10,2024-10-21T16:28:00
PAY_00246,UTR_00246,8490.65,173.28,2024-01-02T05:06:00
PAY_00247_A,UTR_00247_A,2083.95,42.53,2024-05-16T23:14:00
PAY_00247_B,UTR_00247_B,2023.38,41.29,2024-05-16T23:14:00
PAY_00248,UTR_00248,6138.80,125.28,2024-12-29T08:47:00
PAY_00249_A,UTR_00249_A,6165.72,125.83,2024-02-07T22:58:00
PAY_00249_B,UTR_00249_B,6165.72,125.83,2024-02-07T22:58:00
PAY_00250,UTR_00250,2072.93,42.30,2024-04-05T18:37:00
PAY_00251,UTR_00251,9100.01,185.71,2024-11-15T09:38:00
PAY_00252,UTR_00252,1277.47,26.07,2024-06-23T15:01:00
PAY_00253,UTR_00253,5442.24,111.07,2024-10-24T11:09:00
PAY_00254,UTR_00254,1002.31,20.46,2024-03-23T23:52:00
PAY_00255,UTR_00255,4574.96,93.37,2024-03-26T21:52:00
PAY_00256,UTR_00256,6382.08,130.25,2024-04-22T11:50:00
PAY_00257,UTR_00257,4933.24,100.68,2024-07-31T21:39:00
PAY_00258,,5035.07,102.76,2024-07-18T11:26:00
PAY_00259,UTR_00259,4129.08,84.27,2024-12-17T17:17:00
PAY_00260_A,UTR_00260_A,9608.33,196.09,2024-06-26T20:30:00
PAY_00260_B,UTR_00260_B,9608.33,196.09,2024-06-26T20:30:00
PAY_00261,UTR_00261,4529.75,92.44,2024-04-15T16:48:00
PAY_00262,UTR_00262,3821.25,77.98,2024-04-09T18:39:00
PAY_00263,UTR_00263,7594.49,154.99,2024-10-29T12:38:00
PAY_00264,UTR_00264,3395.46,69.30,2024-07-13T22:10:00
PAY_00265,UTR_00265,8058.97,164.47,2024-07-25T07:58:00
PAY_00266,,7142.14,145.76,2024-12-22T22:05:00
PAY_00267,UTR_00267,8492.76,173.32,2024-11-21T12:58:00
PAY_00268,UTR_00268,5323.31,108.64,2024-09-08T16:28:00
PAY_00269,UTR_00269,3323.34,67.82,2024-10-02T01:13:00
PAY_00270,UTR_00270,4515.75,92.16,2024-08-22T16:28:00
PAY_00271,UTR_00271,8534.88,174.18,2024-06-23T06:25:00
PAY_00272_A,UTR_00272_A,3626.74,74.02,2024-06-19T10:47:00
PAY_00272_B,UTR_00272_B,2018.84,41.20,2024-06-19T10:47:00
PAY_00273,UTR_00273,4083.34,83.33,2024-08-20T01:32:00
PAY_00274,UTR_00274,7323.13,149.45,2024-10-04T23:29:00
PAY_00275,UTR_00275,3843.74,78.44,2024-04-21T03:13:00
PAY_00276,UTR_00276,4903.67,100.08,2024-01-29T07:57:00
PAY_00277,UTR_00277,4972.93,101.49,2024-08-30T03:01:00
PAY_00278,UTR_00278,1065.41,21.74,2024-11-29T02:23:00
PAY_00279,UTR_00279,246.90,5.04,2024-04-15T08:17:00
PAY_00280,UTR_00280,4075.61,83.18,2024-04-22T18:39:00
PAY_00281,UTR_00281,823.98,16.82,2024-07-12T08:36:00
PAY_00282,UTR_00282,3382.72,69.04,2024-10-16T19:31:00
PAY_00283,UTR_00283,6402.71,130.67,2024-08-27T15:05:00
PAY_00284,UTR_00284,8369.29,170.80,2024-10-04T02:08:00
PAY_00285,UTR_00285,8561.86,174.73,2024-01-27T12:22:00
PAY_00286,UTR_00286,6088.59,124.26,2024-06-20T07:54:00
PAY_00287,UTR_00287,6221.52,126.97,2024-07-28T15:18:00
PAY_00288,,9775.03,199.49,2024-03-07T04:29:00
PAY_00289,UTR_00289,4306.90,87.90,2024-03-13T01:25:00
PAY_00290,UTR_00290,4400.80,89.81,2024-08-06T10:32:00
PAY_00291,UTR_00291,3245.08,66.23,2024-02-11T05:45:00
PAY_00292,,2944.25,60.09,2024-09-30T07:49:00
PAY_00293,UTR_00293,4276.52,87.28,2024-06-27T04:39:00
PAY_00294,,5251.38,107.17,2024-05-11T11:43:00
PAY_00295_A,UTR_00295_A,950.11,19.39,2024-02-27T21:04:00
PAY_00295_B,UTR_00295_B,797.07,16.27,2024-02-27T21:04:00
PAY_00296,UTR_00296,3809.45,77.74,2024-06-24T17:48:00
PAY_00297,UTR_00297,4926.37,100.54,2024-04-14T14:09:00
PAY_00298,UTR_00298,2350.70,47.97,2024-07-04T07:34:00
PAY_00299,UTR_00299,4558.52,93.03,2024-01-08T05:13:00
PAY_00300_A,UTR_00300_A,8841.53,180.44,2024-04-25T09:49:00
PAY_00300_B,UTR_00300_B,8841.53,180.44,2024-04-25T09:49:00
