utr,amount,value_date,narration
UTR_00039,5561.64,2024-11-07,NEFT/ORD_00039/AXIS
,5652.98,2024-03-22,NEFT/ORD_00040/AXIS
UTR_00041,844.91,2024-04-18,NEFT/ORD_00041/AXIS
UTR_00042,5501.34,2024-09-26,NEFT/ORD_00042/AXIS
UTR_00043,5866.84,2024-04-18,NEFT/ORD_00043/AXIS
UTR_00044_A,1843.43,2024-01-31,NEFT/ORD_00044/AXIS
UTR_00044_B,2511.46,2024-01-31,NEFT/ORD_00044/AXIS
UTR_00045,8999.92,2024-01-30,NEFT/ORD_00045/AXIS
UTR_00046,8999.35,2024-06-02,NEFT/ORD_00046/AXIS
UTR_00047,6852.46,2024-03-16,NEFT/ORD_00047/AXIS
UTR_00048,3601.42,2024-10-23,NEFT/ORD_00048/AXIS
UTR_00049,9740.99,2024-04-22,NEFT/ORD_00049/AXIS
UTR_00050_A,9265.06,2024-06-21,NEFT/ORD_00050/AXIS
UTR_00050_B,9265.06,2024-06-21,NEFT/ORD_00050/AXIS
UTR_00051,8657.84,2024-05-09,NEFT/ORD_00051/AXIS
UTR_00052,1875.67,2024-08-30,NEFT/ORD_00052/AXIS
UTR_00053,7844.02,2024-10-27,NEFT/ORD_00053/AXIS
UTR_00054,2741.38,2024-03-20,NEFT/ORD_00054/AXIS
UTR_00055,3887.16,2024-01-29,NEFT/ORD_00055/AXIS
UTR_00056,8600.07,2024-06-11,NEFT/ORD_00056/AXIS
UTR_00057,2075.77,2024-12-01,NEFT/ORD_00057/AXIS
UTR_00058,3561.62,2024-06-15,NEFT/ORD_00058/AXIS
UTR_00059,2306.94,2024-05-21,NEFT/ORD_00059/AXIS
UTR_00060,4044.81,2024-07-22,NEFT/ORD_00060/AXIS
UTR_00061,8657.09,2024-07-22,NEFT/ORD_00061/AXIS
UTR_00062,3576.35,2024-10-18,NEFT/ORD_00062/AXIS
,6827.23,2024-08-29,NEFT/ORD_00063/AXIS
UTR_00064,9398.45,2024-03-25,NEFT/ORD_00064/AXIS
UTR_00065,8782.68,2024-07-09,NEFT/ORD_00065/AXIS
UTR_00066,1867.82,2024-07-12,NEFT/ORD_00066/AXIS
UTR_00067,478.75,2024-11-12,NEFT/ORD_00067/AXIS
UTR_00068,3522.30,2024-08-16,NEFT/ORD_00068/AXIS
UTR_00069_A,4420.30,2024-03-25,NEFT/ORD_00069/AXIS
UTR_00069_B,4420.30,2024-03-25,NEFT/ORD_00069/AXIS
UTR_00070,3913.43,2024-05-18,NEFT/ORD_00070/AXIS
,2621.75,2024-11-13,NEFT/ORD_00071/AXIS
UTR_00072,116.74,2024-05-23,NEFT/ORD_00072/AXIS
UTR_00073,3705.79,2024-02-21,NEFT/ORD_00073/AXIS
UTR_00074,9493.86,2024-08-28,NEFT/ORD_00074/AXIS
UTR_00075,6269.24,2024-04-01,NEFT/ORD_00075/AXIS
UTR_00076,7226.59,2024-08-07,NEFT/ORD_00076/AXIS
UTR_00077,3329.21,2024-08-03,NEFT/ORD_00077/AXIS
UTR_00078,5588.68,2024-05-20,NEFT/ORD_00078/AXIS
UTR_00079,4262.42,2024-10-03,NEFT/ORD_00079/AXIS
UTR_00080,6805.45,2024-05-07,NEFT/ORD_00080/AXIS
UTR_00081,6193.60,2024-08-07,NEFT/ORD_00081/AXIS
UTR_00082,4120.14,2024-01-01,NEFT/ORD_00082/AXIS
UTR_00083,3108.36,2024-06-02,NEFT/ORD_00083/AXIS
UTR_00084,4355.89,2024-08-23,NEFT/ORD_00084/AXIS
UTR_00085,4703.38,2024-11-18,NEFT/ORD_00085/AXIS
UTR_00086,6788.71,2024-12-10,NEFT/ORD_00086/AXIS
,7957.98,2024-05-03,NEFT/ORD_00087/AXIS
UTR_00088,6622.62,2024-07-26,NEFT/ORD_00088/AXIS
UTR_00089,5202.97,2024-09-01,NEFT/ORD_00089/AXIS
UTR_00090_A,1024.53,2024-06-20,NEFT/ORD_00090/AXIS
UTR_00090_B,1024.53,2024-06-20,NEFT/ORD_00090/AXIS
UTR_00091,6760.68,2024-06-12,NEFT/ORD_00091/AXIS
UTR_00092,8084.97,2024-04-17,NEFT/ORD_00092/AXIS
UTR_00093,341.81,2024-06-27,NEFT/ORD_00093/AXIS
UTR_00094,9840.97,2024-02-25,NEFT/ORD_00094/AXIS
,4202.97,2024-05-21,NEFT/ORD_00095/AXIS
UTR_00096,7211.62,2024-10-06,NEFT/ORD_00096/AXIS
UTR_00097,4994.33,2024-06-27,NEFT/ORD_00097/AXIS
UTR_00098,1560.96,2024-01-05,NEFT/ORD_00098/AXIS
UTR_00100,7806.36,2024-06-08,NEFT/ORD_00100/AXIS
UTR_00101,1841.28,2024-12-04,NEFT/ORD_00101/AXIS
UTR_00102,597.16,2024-06-30,NEFT/ORD_00102/AXIS
UTR_00103,9182.95,2024-03-29,NEFT/ORD_00103/AXIS
UTR_00104,4618.97,2024-12-04,NEFT/ORD_00104/AXIS
UTR_00105_A,4562.23,2024-08-19,NEFT/ORD_00105/AXIS
UTR_00105_B,2146.79,2024-08-19,NEFT/ORD_00105/AXIS
UTR_00106,8925.12,2024-11-07,NEFT/ORD_00106/AXIS
,8322.63,2024-11-21,NEFT/ORD_00107/AXIS
UTR_00108,8981.45,2024-12-12,NEFT/ORD_00108/AXIS
UTR_00109_A,5102.01,2024-07-21,NEFT/ORD_00109/AXIS
UTR_00109_B,3312.63,2024-07-21,NEFT/ORD_00109/AXIS
UTR_00110_A,5260.87,2024-06-23,NEFT/ORD_00110/AXIS
UTR_00110_B,5260.87,2024-06-23,NEFT/ORD_00110/AXIS
UTR_00111,2818.51,2024-02-29,NEFT/ORD_00111/AXIS
UTR_00112,2928.71,2024-07-17,NEFT/ORD_00112/AXIS
UTR_00113,3424.89,2024-02-29,NEFT/ORD_00113/AXIS
UTR_00114,1469.90,2024-06-17,NEFT/ORD_00114/AXIS
UTR_00115,3892.05,2024-04-21,NEFT/ORD_00115/AXIS
UTR_00116,7093.55,2024-02-17,NEFT/ORD_00116/AXIS
UTR_00117,4207.19,2024-08-29,NEFT/ORD_00117/AXIS
UTR_00118,5471.85,2024-10-30,NEFT/ORD_00118/AXIS
UTR_00119,716.43,2024-11-02,NEFT/ORD_00119/AXIS
UTR_00120,3955.82,2024-01-15,NEFT/ORD_00120/AXIS
UTR_00121,8581.65,2024-10-04,NEFT/ORD_00121/AXIS
UTR_00122,4822.70,2024-09-13,NEFT/ORD_00122/AXIS
UTR_00123,8549.13,2024-11-01,NEFT/ORD_00123/AXIS
UTR_00124_A,2688.63,2024-06-09,NEFT/ORD_00124/AXIS
UTR_00124_B,2739.75,2024-06-09,NEFT/ORD_00124/AXIS
UTR_00125,2802.06,2024-12-20,NEFT/ORD_00125/AXIS
,387.35,2024-09-02,NEFT/ORD_00126/AXIS
UTR_00127,6723.30,2024-10-21,NEFT/ORD_00127/AXIS
UTR_00128_A,9203.46,2024-01-21,NEFT/ORD_00128/AXIS
UTR_00128_B,9203.46,2024-01-21,NEFT/ORD_00128/AXIS
UTR_00129_A,3028.43,2024-01-21,NEFT/ORD_00129/AXIS
UTR_00129_B,6050.17,2024-01-21,NEFT/ORD_00129/AXIS
UTR_00130,4343.27,2024-12-02,NEFT/ORD_00130/AXIS
UTR_00131,1899.12,2024-07-08,NEFT/ORD_00131/AXIS
UTR_00132,3854.04,2024-06-03,NEFT/ORD_00132/AXIS
UTR_00133,7636.17,2024-10-03,NEFT/ORD_00133/AXIS
UTR_00134,2854.74,2024-11-05,NEFT/ORD_00134/AXIS
UTR_00135,8365.62,2024-12-08,NEFT/ORD_00135/AXIS
UTR_00136,291.89,2024-02-08,NEFT/ORD_00136/AXIS
UTR_00137,9999.09,2024-09-12,NEFT/ORD_00137/AXIS
UTR_00138,2319.80,2024-02-20,NEFT/ORD_00138/AXIS
UTR_00139,7834.21,2024-01-30,NEFT/ORD_00139/AXIS
,7566.91,2024-06-29,NEFT/ORD_00140/AXIS
UTR_00141,2073.67,2024-01-16,NEFT/ORD_00141/AXIS
UTR_00142_A,2190.98,2024-06-23,NEFT/ORD_00142/AXIS
UTR_00142_B,4060.24,2024-06-23,NEFT/ORD_00142/AXIS
UTR_00143,6728.58,2024-06-08,NEFT/ORD_00143/AXIS
UTR_00144,7692.29,2024-05-02,NEFT/ORD_00144/AXIS
,6098.34,2024-03-24,NEFT/ORD_00145/AXIS
UTR_00146,7800.14,2024-04-29,NEFT/ORD_00146/AXIS
UTR_00147,9650.74,2024-03-20,NEFT/ORD_00147/AXIS
UTR_00148,5830.14,2024-08-15,NEFT/ORD_00148/AXIS
UTR_00149,4026.88,2024-05-24,NEFT/ORD_00149/AXIS
UTR_00150,852.37,2024-06-26,NEFT/ORD_00150/AXIS
UTR_00151,1108.82,2024-08-07,NEFT/ORD_00151/AXIS
UTR_00152_A,5268.24,2024-03-29,NEFT/ORD_00152/AXIS
UTR_00152_B,3249.66,2024-03-29,NEFT/ORD_00152/AXIS
UTR_00153,5702.73,2024-01-31,NEFT/ORD_00153/AXIS
UTR_00155,6649.06,2024-02-20,NEFT/ORD_00155/AXIS
UTR_00156,5109.01,2024-09-05,NEFT/ORD_00156/AXIS
UTR_00157,223.61,2024-11-02,NEFT/ORD_00157/AXIS
UTR_00158,4393.15,2024-09-21,NEFT/ORD_00158/AXIS
UTR_00159,7102.36,2024-11-13,NEFT/ORD_00159/AXIS
UTR_00160_A,1843.76,2024-07-16,NEFT/ORD_00160/AXIS
UTR_00160_B,1843.76,2024-07-16,NEFT/ORD_00160/AXIS
UTR_00161,6197.53,2024-12-18,NEFT/ORD_00161/AXIS
UTR_00162,4702.25,2024-07-14,NEFT/ORD_00162/AXIS
UTR_00163,3290.82,2024-06-28,NEFT/ORD_00163/AXIS
UTR_00164,8324.24,2024-03-04,NEFT/ORD_00164/AXIS
UTR_00165,2861.39,2024-11-24,NEFT/ORD_00165/AXIS
UTR_00166,2514.25,2024-12-04,NEFT/ORD_00166/AXIS
UTR_00167,5741.51,2024-10-03,NEFT/ORD_00167/AXIS
UTR_00168,3430.33,2024-12-26,NEFT/ORD_00168/AXIS
UTR_00169,8524.43,2024-05-12,NEFT/ORD_00169/AXIS
UTR_00170,4926.74,2024-09-15,NEFT/ORD_00170/AXIS
,7998.54,2024-09-05,NEFT/ORD_00171/AXIS
UTR_00172,2867.50,2024-07-20,NEFT/ORD_00172/AXIS
UTR_00173,947.57,2024-10-23,NEFT/ORD_00173/AXIS
UTR_00174,4938.30,2024-06-24,NEFT/ORD_00174/AXIS
UTR_00175,4536.93,2024-01-13,NEFT/ORD_00175/AXIS
UTR_00176,1021.23,2024-06-10,NEFT/ORD_00176/AXIS
UTR_00177,4103.57,2024-06-26,NEFT/ORD_00177/AXIS
UTR_00178,3131.44,2024-09-26,NEFT/ORD_00178/AXIS
UTR_00179,4785.28,2024-09-07,NEFT/ORD_00179/AXIS
UTR_00180,4312.49,2024-08-29,NEFT/ORD_00180/AXIS
UTR_00181,3582.92,2024-11-26,NEFT/ORD_00181/AXIS
UTR_00182,2782.07,2024-07-02,NEFT/ORD_00182/AXIS
UTR_00183,2382.33,2024-05-20,NEFT/ORD_00183/AXIS
UTR_00184,3223.92,2024-05-15,NEFT/ORD_00184/AXIS
UTR_00185,1996.26,2024-12-18,NEFT/ORD_00185/AXIS
UTR_00186,2837.35,2024-07-25,NEFT/ORD_00186/AXIS
UTR_00187,9807.06,2024-05-21,NEFT/ORD_00187/AXIS
,3032.84,2024-09-20,NEFT/ORD_00188/AXIS
UTR_00189_A,1876.47,2024-01-11,NEFT/ORD_00189/AXIS
UTR_00189_B,1876.47,2024-01-11,NEFT/ORD_00189/AXIS
,7109.38,2024-04-02,NEFT/ORD_00190/AXIS
UTR_00191,2815.68,2024-02-10,NEFT/ORD_00191/AXIS
UTR_00192,5578.25,2024-04-02,NEFT/ORD_00192/AXIS
UTR_00193,6414.91,2024-12-23,NEFT/ORD_00193/AXIS
UTR_00194,1115.62,2024-01-10,NEFT/ORD_00194/AXIS
UTR_00195,5783.24,2024-12-08,NEFT/ORD_00195/AXIS
UTR_00196,4839.27,2024-09-05,NEFT/ORD_00196/AXIS
UTR_00197,1925.20,2024-02-07,NEFT/ORD_00197/AXIS
UTR_00198,2599.54,2024-12-14,NEFT/ORD_00198/AXIS
UTR_00199,1229.46,2024-02-17,NEFT/ORD_00199/AXIS
UTR_00200_A,4067.00,2024-02-24,NEFT/ORD_00200/AXIS
UTR_00200_B,4067.00,2024-02-24,NEFT/ORD_00200/AXIS
UTR_00201,5812.51,2024-02-09,NEFT/ORD_00201/AXIS
UTR_00202,1602.10,2024-08-09,NEFT/ORD_00202/AXIS
UTR_00203,943.29,2024-06-30,NEFT/ORD_00203/AXIS
UTR_00204_A,690.45,2024-10-30,NEFT/ORD_00204/AXIS
UTR_00204_B,582.22,2024-10-30,NEFT/ORD_00204/AXIS
UTR_00205,7929.88,2024-06-13,NEFT/ORD_00205/AXIS
UTR_00206,4560.09,2024-11-18,NEFT/ORD_00206/AXIS
UTR_00207,3043.18,2024-11-08,NEFT/ORD_00207/AXIS
UTR_00208,6135.35,2024-03-13,NEFT/ORD_00208/AXIS
UTR_00209,9481.14,2024-05-31,NEFT/ORD_00209/AXIS
UTR_00210,6292.60,2024-07-15,NEFT/ORD_00210/AXIS
UTR_00211,903.76,2024-06-24,NEFT/ORD_00211/AXIS
UTR_00212_A,1820.75,2024-02-25,NEFT/ORD_00212/AXIS
UTR_00212_B,1820.75,2024-02-25,NEFT/ORD_00212/AXIS
UTR_00213,1649.67,2024-10-24,NEFT/ORD_00213/AXIS
UTR_00214,4559.99,2024-12-08,NEFT/ORD_00214/AXIS
UTR_00215,2983.47,2024-06-17,NEFT/ORD_00215/AXIS
UTR_00216_A,1715.82,2024-07-25,NEFT/ORD_00216/AXIS
UTR_00216_B,1236.42,2024-07-25,NEFT/ORD_00216/AXIS
UTR_00217,4594.91,2024-06-19,NEFT/ORD_00217/AXIS
UTR_00218,9246.72,2024-05-24,NEFT/ORD_00218/AXIS
UTR_00219,4308.88,2024-06-13,NEFT/ORD_00219/AXIS
UTR_00220_A,6511.58,2024-07-12,NEFT/ORD_00220/AXIS
UTR_00220_B,6511.58,2024-07-12,NEFT/ORD_00220/AXIS
UTR_00221,8283.65,2024-02-22,NEFT/ORD_00221/AXIS
UTR_00222,690.42,2024-08-12,NEFT/ORD_00222/AXIS
,5990.94,2024-07-29,NEFT/ORD_00223/AXIS
UTR_00224,4447.62,2024-12-07,NEFT/ORD_00224/AXIS
UTR_00225,6917.91,2024-10-20,NEFT/ORD_00225/AXIS
UTR_00226,9433.57,2024-12-30,NEFT/ORD_00226/AXIS
UTR_00227,896.37,2024-01-30,NEFT/ORD_00227/AXIS
UTR_00228,8905.29,2024-08-23,NEFT/ORD_00228/AXIS
UTR_00229,6076.77,2024-01-20,NEFT/ORD_00229/AXIS
UTR_00230_A,1004.14,2024-01-16,NEFT/ORD_00230/AXIS
UTR_00230_B,1004.14,2024-01-16,NEFT/ORD_00230/AXIS
UTR_00231,9995.77,2024-07-15,NEFT/ORD_00231/AXIS
,5804.85,2024-05-07,NEFT/ORD_00232/AXIS
UTR_00233,4757.96,2024-11-18,NEFT/ORD_00233/AXIS
UTR_00234,9169.12,2024-05-12,NEFT/ORD_00234/AXIS
,9969.76,2024-11-13,NEFT/ORD_00235/AXIS
UTR_00236,6384.37,2024-12-24,NEFT/ORD_00236/AXIS
UTR_00237,9693.65,2024-12-08,NEFT/ORD_00237/AXIS
UTR_00238,3544.81,2024-08-31,NEFT/ORD_00238/AXIS
UTR_00239,3278.48,2024-03-17,NEFT/ORD_00239/AXIS
UTR_00240,8591.56,2024-08-28,NEFT/ORD_00240/AXIS
UTR_00241,4175.29,2024-12-27,NEFT/ORD_00241/AXIS
UTR_00242,2951.73,2024-10-18,NEFT/ORD_00242/AXIS
UTR_00243,4602.78,2024-08-17,NEFT/ORD_00243/AXIS
UTR_00244_A,2598.75,2024-03-25,NEFT/ORD_00244/AXIS
UTR_00244_B,2598.75,2024-03-25,NEFT/ORD_00244/AXIS
UTR_00245,9704.83,2024-10-21,NEFT/ORD_00245/AXIS
UTR_00246,8663.93,2024-01-02,NEFT/ORD_00246/AXIS
UTR_00247_A,2126.48,2024-05-16,NEFT/ORD_00247/AXIS
UTR_00247_B,2064.67,2024-05-16,NEFT/ORD_00247/AXIS
UTR_00248,6264.08,2024-12-29,NEFT/ORD_00248/AXIS
UTR_00249_A,6291.55,2024-02-07,NEFT/ORD_00249/AXIS
UTR_00249_B,6291.55,2024-02-07,NEFT/ORD_00249/AXIS
UTR_00250,2115.23,2024-04-05,NEFT/ORD_00250/AXIS
UTR_00251,9285.72,2024-11-15,NEFT/ORD_00251/AXIS
UTR_00252,1303.54,2024-06-23,NEFT/ORD_00252/AXIS
UTR_00253,5553.31,2024-10-24,NEFT/ORD_00253/AXIS
UTR_00254,1022.77,2024-03-23,NEFT/ORD_00254/AXIS
UTR_00255,4668.33,2024-03-26,NEFT/ORD_00255/AXIS
UTR_00256,6512.33,2024-04-22,NEFT/ORD_00256/AXIS
UTR_00257,5033.92,2024-07-31,NEFT/ORD_00257/AXIS
,5137.83,2024-07-18,NEFT/ORD_00258/AXIS
UTR_00259,4213.35,2024-12-17,NEFT/ORD_00259/AXIS
UTR_00260_A,9804.42,2024-06-26,NEFT/ORD_00260/AXIS
UTR_00260_B,9804.42,2024-06-26,NEFT/ORD_00260/AXIS
UTR_00261,4622.19,2024-04-15,NEFT/ORD_00261/AXIS
UTR_00262,3899.23,2024-04-09,NEFT/ORD_00262/AXIS
UTR_00263,7749.48,2024-10-29,NEFT/ORD_00263/AXIS
UTR_00264,3464.76,2024-07-13,NEFT/ORD_00264/AXIS
UTR_00265,8223.44,2024-07-25,NEFT/ORD_00265/AXIS
,7287.90,2024-12-22,NEFT/ORD_00266/AXIS
UTR_00267,8666.08,2024-11-21,NEFT/ORD_00267/AXIS
UTR_00268,5431.95,2024-09-08,NEFT/ORD_00268/AXIS
UTR_00269,3391.16,2024-10-02,NEFT/ORD_00269/AXIS
UTR_00270,4607.91,2024-08-22,NEFT/ORD_00270/AXIS
UTR_00271,8709.06,2024-06-23,NEFT/ORD_00271/AXIS
UTR_00272_A,3700.76,2024-06-19,NEFT/ORD_00272/AXIS
UTR_00272_B,2060.04,2024-06-19,NEFT/ORD_00272/AXIS
UTR_00273,4166.67,2024-08-20,NEFT/ORD_00273/AXIS
UTR_00274,7472.58,2024-10-04,NEFT/ORD_00274/AXIS
UTR_00275,3922.18,2024-04-21,NEFT/ORD_00275/AXIS
UTR_00276,5003.75,2024-01-29,NEFT/ORD_00276/AXIS
UTR_00277,5074.42,2024-08-30,NEFT/ORD_00277/AXIS
UTR_00278,1087.15,2024-11-29,NEFT/ORD_00278/AXIS
UTR_00279,251.94,2024-04-15,NEFT/ORD_00279/AXIS
UTR_00280,4158.79,2024-04-22,NEFT/ORD_00280/AXIS
UTR_00281,840.80,2024-07-12,NEFT/ORD_00281/AXIS
UTR_00282,3451.76,2024-10-16,NEFT/ORD_00282/AXIS
UTR_00283,6533.38,2024-08-27,NEFT/ORD_00283/AXIS
UTR_00284,8540.09,2024-10-04,NEFT/ORD_00284/AXIS
UTR_00285,8736.59,2024-01-27,NEFT/ORD_00285/AXIS
UTR_00286,6212.85,2024-06-20,NEFT/ORD_00286/AXIS
UTR_00287,6348.49,2024-07-28,NEFT/ORD_00287/AXIS
,9974.52,2024-03-07,NEFT/ORD_00288/AXIS
UTR_00289,4394.80,2024-03-13,NEFT/ORD_00289/AXIS
UTR_00290,4490.61,2024-08-06,NEFT/ORD_00290/AXIS
UTR_00291,3311.31,2024-02-11,NEFT/ORD_00291/AXIS
,3004.34,2024-09-30,NEFT/ORD_00292/AXIS
UTR_00293,4363.80,2024-06-27,NEFT/ORD_00293/AXIS
,5358.55,2024-05-11,NEFT/ORD_00294/AXIS
UTR_00295_A,969.5,2024-02-27,NEFT/ORD_00295/AXIS
UTR_00295_B,813.34,2024-02-27,NEFT/ORD_00295/AXIS
UTR_00296,3887.19,2024-06-24,NEFT/ORD_00296/AXIS
UTR_00297,5026.91,2024-04-14,NEFT/ORD_00297/AXIS
UTR_00298,2398.67,2024-07-04,NEFT/ORD_00298/AXIS
UTR_00299,4651.55,2024-01-08,NEFT/ORD_00299/AXIS
UTR_00300_A,9021.97,2024-04-25,NEFT/ORD_00300/AXIS
UTR_00300_B,9021.97,2024-04-25,NEFT/ORD_00300/AXIS
